deck_name,tier,usage_rate,win_rate,main_pokemon,energy_type,main_pokemon_hp,main_attack_damage,main_attack_energy_cost,is_ex,has_evolution,deck_style,description
セレビィex コンボ型 Ver.8,C,2.0,48.8,セレビィex,Grass,135,61,1,True,True,コンボ,セレビィexを中心としたコンボ構成。
マニューラ アグロ型 Ver.2,A,2.7,42.2,マニューラ,Dark,106,83,2,False,True,アグロ,マニューラを中心としたアグロ構成。
セレビィex コンボ型 Ver.6,C,2.3,52.0,セレビィex,Grass,135,77,2,True,False,コンボ,セレビィexを中心としたコンボ構成。
マニューラ アグロ型 Ver.6,B,0.9,41.4,マニューラ,Dark,91,88,1,False,True,アグロ,マニューラを中心としたアグロ構成。
フシギバナex バランス型 Ver.9,B,4.3,41.3,フシギバナex,Grass,190,112,4,True,False,バランス,フシギバナexを中心としたバランス構成。
ミュウex コンボ型 Ver.4,B,3.4,45.9,ミュウex,Psychic,138,95,1,True,True,コンボ,ミュウexを中心としたコンボ構成。
セレビィex コンボ型 Ver.8,C,0.8,46.4,セレビィex,Grass,140,70,2,True,False,コンボ,セレビィexを中心としたコンボ構成。
ハピナス バランス型 Ver.7,B,2.6,42.6,ハピナス,Colorless,175,71,2,False,True,バランス,ハピナスを中心としたバランス構成。
ミュウex コンボ型 Ver.1,B,2.2,49.2,ミュウex,Psychic,126,78,1,True,True,コンボ,ミュウexを中心としたコンボ構成。
ルギアex バランス型 Ver.6,B,3.2,45.9,ルギアex,Colorless,193,131,3,True,True,バランス,ルギアexを中心としたバランス構成。
ミュウex コンボ型 Ver.8,A,4.5,51.5,ミュウex,Psychic,133,129,3,True,True,コンボ,ミュウexを中心としたコンボ構成。
メルメタルex コントロール型 Ver.7,C,1.6,42.2,メルメタルex,Metal,214,153,4,True,False,コントロール,メルメタルexを中心としたコントロール構成。
